date,board,legend,pick_pct
2026-06-01,any,axle,15.903
2026-06-01,any,loba,1.099
2026-06-01,any,pathfinder,2.396
2026-06-01,any,seer,0.463
2026-06-01,any,revenant,2.029
2026-06-01,any,octane,7.813
2026-06-01,any,alter,1.792
2026-06-01,any,mad-maggie,8.163
2026-06-01,any,gibraltar,2.564
2026-06-01,any,bangalore,5.826
2026-06-01,any,vantage,2.662
2026-06-01,any,horizon,1.355
2026-06-01,any,sparrow,2.385
2026-06-01,any,valkyrie,9.456
2026-06-01,any,conduit,10.317
2026-06-01,any,fuse,2.732
2026-06-01,any,caustic,1.831
2026-06-01,any,wraith,5.471
2026-06-01,any,crypto,0.833
2026-06-01,any,catalyst,0.511
2026-06-01,any,mirage,2.1
2026-06-01,any,bloodhound,1.499
2026-06-01,any,lifeline,3.783
2026-06-01,any,newcastle,1.099
2026-06-01,any,wattson,1.576
2026-06-01,any,rampart,0.895
2026-06-01,any,ash,2.8
2026-06-01,any,ballistic,0.648
2026-06-02,any,axle,16.29
2026-06-02,any,loba,1.097
2026-06-02,any,pathfinder,2.348
2026-06-02,any,seer,0.481
2026-06-02,any,revenant,2.032
2026-06-02,any,octane,7.677
2026-06-02,any,alter,1.774
2026-06-02,any,mad-maggie,8.287
2026-06-02,any,gibraltar,2.59
2026-06-02,any,bangalore,5.784
2026-06-02,any,vantage,2.659
2026-06-02,any,horizon,1.336
2026-06-02,any,sparrow,2.375
2026-06-02,any,valkyrie,9.458
2026-06-02,any,conduit,10.06
2026-06-02,any,fuse,2.701
2026-06-02,any,caustic,1.85
2026-06-02,any,wraith,5.444
2026-06-02,any,crypto,0.821
2026-06-02,any,catalyst,0.51
2026-06-02,any,mirage,2.143
2026-06-02,any,bloodhound,1.463
2026-06-02,any,lifeline,3.779
2026-06-02,any,newcastle,1.136
2026-06-02,any,wattson,1.641
2026-06-02,any,rampart,0.858
2026-06-02,any,ash,2.768
2026-06-02,any,ballistic,0.637
2026-06-03,any,axle,16.536
2026-06-03,any,loba,1.118
2026-06-03,any,pathfinder,2.284
2026-06-03,any,seer,0.476
2026-06-03,any,revenant,2.012
